transaction_id,customer_id,card_number,timestamp,amount,merchant_id,merchant_category,merchant_lat,merchant_long,is_fraud,fraud_type,hour,day_of_week,month,distance_from_home
TXN_00032268,CUST_01979,CARD_19723,2026-01-13T18:53:15.805431Z,48.69,MERCHANT_1296,electronics,17.9269,74.7201,0,none,18,1,1,403.0
TXN_00042314,CUST_04889,CARD_72213,2025-12-24T07:46:15.805431Z,121.02,MERCHANT_1114,retail,23.5024,78.4371,0,none,7,2,12,171.57
TXN_00097390,CUST_01052,CARD_48003,2026-01-08T03:55:15.805431Z,773.01,MERCHANT_0098,grocery,17.2141,86.3747,0,none,3,3,1,218.45
TXN_00031643,CUST_03311,CARD_98961,2025-12-31T21:12:15.805431Z,116.3,MERCHANT_0015,grocery,5.8005,78.9904,0,none,21,2,12,338.69
TXN_00073889,CUST_04217,CARD_60730,2026-01-11T06:39:15.805431Z,4755.96,MERCHANT_0507,grocery,16.4489,80.3464,0,none,6,6,1,269.07
TXN_00061647,CUST_04440,CARD_72978,2025-12-27T18:57:15.805431Z,617.9,MERCHANT_0163,retail,23.6897,77.86,0,none,18,5,12,220.03
TXN_00041278,CUST_00114,CARD_73397,2026-01-07T23:54:15.805431Z,327.28,MERCHANT_0827,gas,18.9859,76.0395,0,none,23,2,1,335.27
TXN_00017755,CUST_02837,CARD_40469,2025-12-31T10:24:15.805431Z,46.33,MERCHANT_1005,jewelry,16.224,92.1432,0,none,10,2,12,163.7
TXN_00003745,CUST_00057,CARD_35155,2026-01-03T07:26:15.805431Z,429.53,MERCHANT_1450,retail,20.0759,91.248,0,none,7,5,1,91.12
TXN_00000976,CUST_01125,CARD_79669,2026-01-06T10:39:15.805431Z,1228.21,MERCHANT_1317,luxury_goods,18.7611,86.3065,0,none,10,1,1,303.68
TXN_00057116,CUST_00922,CARD_07386,2026-01-19T02:28:15.805431Z,119.67,MERCHANT_1625,luxury_goods,16.3115,77.2988,0,none,2,0,1,283.62
TXN_00021613,CUST_04655,CARD_51562,2025-12-28T03:22:15.805431Z,360.54,MERCHANT_0280,restaurant,19.4715,84.4313,0,none,3,6,12,249.25
TXN_00036910,CUST_01572,CARD_99908,2025-12-27T10:39:15.805431Z,12740.27,MERCHANT_1246,jewelry,22.8701,73.9161,0,none,10,5,12,373.12
TXN_00053315,CUST_02466,CARD_76764,2026-01-22T22:21:15.805431Z,3190.11,MERCHANT_0473,grocery,24.6361,71.0074,0,none,22,3,1,341.4
TXN_00054085,CUST_02261,CARD_14596,2026-01-07T01:56:15.805431Z,461.93,MERCHANT_0908,grocery,19.1265,86.2492,0,none,1,2,1,228.82
TXN_00031010,CUST_00999,CARD_46123,2026-01-15T17:55:15.805431Z,226.86,MERCHANT_0889,restaurant,21.7244,72.4599,0,none,17,3,1,258.66
TXN_00061755,CUST_01610,CARD_38412,2026-01-07T00:47:15.805431Z,35.08,MERCHANT_1570,grocery,17.2869,80.4464,0,none,0,2,1,229.44
TXN_00009832,CUST_00040,CARD_66737,2026-01-09T00:33:15.805431Z,335.48,MERCHANT_0228,jewelry,22.6916,63.9615,0,none,0,4,1,553.34
TXN_00033127,CUST_00728,CARD_50534,2026-01-06T19:28:15.805431Z,1088.19,MERCHANT_1992,restaurant,24.0738,68.6633,0,none,19,1,1,168.65
TXN_00025666,CUST_00641,CARD_72490,2026-01-18T07:33:15.805431Z,13.16,MERCHANT_0745,grocery,25.0708,75.8914,0,none,7,6,1,484.89
TXN_00060380,CUST_02170,CARD_43109,2026-01-22T04:29:15.805431Z,421.83,MERCHANT_0541,gas,10.5416,74.3997,0,none,4,3,1,326.84
TXN_00071386,CUST_04343,CARD_50930,2025-12-28T01:43:15.805431Z,323.64,MERCHANT_0853,luxury_goods,22.2886,80.4408,0,none,1,6,12,296.53
TXN_00094883,CUST_04479,CARD_71071,2026-01-02T09:29:15.805431Z,1148.15,MERCHANT_1600,retail,10.6388,77.0817,0,none,9,4,1,460.49
TXN_00039709,CUST_03914,CARD_61078,2026-01-04T02:38:15.805431Z,106.94,MERCHANT_0580,luxury_goods,19.693,75.7236,0,none,2,6,1,233.02
TXN_00091995,CUST_03308,CARD_95610,2026-01-06T20:09:15.805431Z,654.27,MERCHANT_1939,jewelry,23.2219,77.9182,0,none,20,1,1,170.84
TXN_00059785,CUST_03445,CARD_31768,2026-01-03T09:57:15.805431Z,549.05,MERCHANT_0809,electronics,14.1872,79.4145,0,none,9,5,1,373.92
TXN_00047135,CUST_01624,CARD_55817,2026-01-06T06:23:15.805431Z,379.99,MERCHANT_0196,electronics,23.8937,74.0168,0,none,6,1,1,178.51
TXN_00031293,CUST_02116,CARD_04231,2026-01-11T09:55:15.805431Z,1355.29,MERCHANT_0431,retail,12.8089,88.7983,0,none,9,6,1,331.65
TXN_00023410,CUST_02190,CARD_33936,2025-12-23T20:41:15.805431Z,161.73,MERCHANT_1257,jewelry,19.6948,75.9384,0,none,20,1,12,278.75
TXN_00018269,CUST_03953,CARD_44257,2026-01-14T03:07:15.805431Z,59.81,MERCHANT_1645,jewelry,26.7573,79.3734,0,none,3,2,1,101.36
TXN_00073074,CUST_04883,CARD_86828,2025-12-25T02:01:15.805431Z,200.04,MERCHANT_0672,jewelry,24.6241,77.3757,0,none,2,3,12,365.66
TXN_00030729,CUST_02502,CARD_50295,2026-01-04T09:50:15.805431Z,62.84,MERCHANT_0372,luxury_goods,11.9542,75.0078,0,none,9,6,1,253.67
TXN_00008087,CUST_04084,CARD_73610,2026-01-13T08:39:15.805431Z,118.7,MERCHANT_0041,electronics,32.6699,83.5136,0,none,8,1,1,382.73
TXN_00081640,CUST_00376,CARD_02066,2025-12-25T03:53:15.805431Z,343.15,MERCHANT_1163,electronics,15.9669,68.8595,0,none,3,3,12,357.58
TXN_00034096,CUST_00534,CARD_54449,2026-01-14T02:18:15.805431Z,274.35,MERCHANT_0720,grocery,16.0172,84.56,0,none,2,2,1,212.09
TXN_00032562,CUST_03686,CARD_20487,2026-01-16T23:58:15.805431Z,180.28,MERCHANT_1430,grocery,19.3644,80.6424,0,none,23,4,1,291.24
TXN_00095645,CUST_04655,CARD_51562,2025-12-24T18:45:15.805431Z,287.53,MERCHANT_1277,restaurant,25.0092,86.1169,0,none,18,2,12,420.92
TXN_00087649,CUST_00326,CARD_17420,2026-01-12T23:14:15.805431Z,742.64,MERCHANT_0217,luxury_goods,29.4799,84.3895,0,none,23,0,1,44.57
TXN_00008694,CUST_01725,CARD_24333,2026-01-04T00:04:15.805431Z,111.06,MERCHANT_0950,restaurant,18.4172,75.9544,0,none,0,6,1,102.62
TXN_00048132,CUST_02326,CARD_92977,2026-01-03T11:41:15.805431Z,305.32,MERCHANT_0758,electronics,20.542,83.3729,0,none,11,5,1,188.05
TXN_00013422,CUST_03223,CARD_86912,2026-01-15T11:44:15.805431Z,73.04,MERCHANT_1871,retail,24.6511,72.7002,0,none,11,3,1,179.88
TXN_00050087,CUST_01985,CARD_06050,2026-01-01T02:17:15.805431Z,523.26,MERCHANT_1604,retail,31.4334,87.8287,0,none,2,3,1,244.99
TXN_00044025,CUST_02554,CARD_05763,2026-01-10T15:04:15.805431Z,135.34,MERCHANT_0751,electronics,18.9054,79.2955,0,none,15,5,1,385.06
TXN_00057058,CUST_02734,CARD_46014,2026-01-19T13:57:15.805431Z,42.56,MERCHANT_1708,luxury_goods,22.5689,79.2292,0,none,13,0,1,115.6
TXN_00091913,CUST_03724,CARD_61631,2026-01-13T07:54:15.805431Z,7609.15,MERCHANT_1335,restaurant,24.8544,78.5417,0,none,7,1,1,206.31
TXN_00048997,CUST_03957,CARD_90017,2026-01-23T08:45:15.805431Z,7797.17,MERCHANT_1127,retail,18.5812,81.1002,0,none,8,4,1,121.83
TXN_00050019,CUST_03828,CARD_96437,2026-01-09T18:28:15.805431Z,633.15,MERCHANT_1312,grocery,28.2997,77.6981,0,none,18,4,1,257.52
TXN_00056330,CUST_02570,CARD_96475,2026-01-16T18:43:15.805431Z,1745.43,MERCHANT_0399,grocery,19.0084,78.189,0,none,18,4,1,338.47
TXN_00059320,CUST_00042,CARD_64959,2025-12-24T17:08:15.805431Z,19546.72,MERCHANT_1861,jewelry,27.6647,79.7894,0,none,17,2,12,337.96
TXN_00077721,CUST_01293,CARD_31562,2025-12-31T09:24:15.805431Z,86.08,MERCHANT_0732,retail,25.4727,77.3187,0,none,9,2,12,163.06
TXN_00055887,CUST_04837,CARD_00862,2025-12-30T01:42:15.805431Z,3364.15,MERCHANT_1822,gas,17.0479,73.3247,0,none,1,1,12,308.48
TXN_00028180,CUST_00621,CARD_62925,2026-01-04T12:52:15.805431Z,531.65,MERCHANT_1624,luxury_goods,17.0272,77.592,0,none,12,6,1,189.51
TXN_00062668,CUST_00889,CARD_47500,2026-01-19T10:29:15.805431Z,6178.96,MERCHANT_1602,luxury_goods,17.242,81.7142,0,none,10,0,1,313.3
TXN_00032888,CUST_03171,CARD_33043,2025-12-30T12:02:15.805431Z,31.79,MERCHANT_1860,jewelry,15.6179,77.4389,0,none,12,1,12,109.27
TXN_00056637,CUST_02861,CARD_31852,2025-12-27T06:13:15.805431Z,956.75,MERCHANT_1691,restaurant,16.4859,86.7397,0,none,6,5,12,232.99
TXN_00003645,CUST_03134,CARD_42407,2026-01-04T07:38:15.805431Z,98.97,MERCHANT_1912,jewelry,20.9048,85.1259,0,none,7,6,1,137.14
TXN_00093080,CUST_03914,CARD_61078,2025-12-31T01:16:15.805431Z,208.04,MERCHANT_0433,gas,20.3969,77.4403,0,none,1,2,12,44.9
TXN_00028914,CUST_03230,CARD_43809,2026-01-09T09:53:15.805431Z,76.46,MERCHANT_0059,restaurant,17.5577,79.331,0,none,9,4,1,57.3
TXN_00050492,CUST_00540,CARD_27520,2026-01-05T02:08:15.805431Z,8690.41,MERCHANT_0377,luxury_goods,28.5283,80.7886,0,none,2,0,1,242.21
TXN_00057692,CUST_02136,CARD_43742,2026-01-06T03:41:15.805431Z,562.48,MERCHANT_1671,jewelry,18.2234,79.0641,0,none,3,1,1,343.25
TXN_00062160,CUST_01793,CARD_41700,2026-01-20T02:24:15.805431Z,13661.1,MERCHANT_0351,electronics,19.7041,73.0746,0,none,2,1,1,151.13
TXN_00011175,CUST_03427,CARD_86299,2025-12-30T03:12:15.805431Z,18.34,MERCHANT_0529,jewelry,18.0342,71.2893,0,none,3,1,12,318.64
TXN_00035086,CUST_00618,CARD_82036,2026-01-03T09:29:15.805431Z,730.57,MERCHANT_1021,electronics,14.7051,87.487,0,none,9,5,1,210.91
TXN_00032115,CUST_00847,CARD_03750,2026-01-18T06:15:15.805431Z,252.62,MERCHANT_1039,gas,23.7233,72.4172,0,none,6,6,1,137.69
TXN_00083632,CUST_01357,CARD_93422,2026-01-17T01:30:15.805431Z,661.95,MERCHANT_0932,retail,23.829,71.2371,0,none,1,5,1,110.59
TXN_00085561,CUST_04909,CARD_79944,2025-12-25T18:46:15.805431Z,199.16,MERCHANT_0199,restaurant,25.1926,77.3271,0,none,18,3,12,478.33
TXN_00074176,CUST_03578,CARD_77547,2026-01-11T00:05:15.805431Z,1951.37,MERCHANT_1591,gas,16.3253,68.6907,0,none,0,6,1,260.46
TXN_00082260,CUST_01920,CARD_10012,2025-12-29T04:59:15.805431Z,489.47,MERCHANT_0477,restaurant,18.4077,75.8474,0,none,4,0,12,338.72
TXN_00083933,CUST_03807,CARD_71738,2025-12-24T00:43:15.805431Z,1041.4,MERCHANT_0464,restaurant,13.2968,76.5567,0,none,0,2,12,365.53
TXN_00084209,CUST_00838,CARD_43659,2026-01-20T20:50:15.805431Z,207.7,MERCHANT_0357,grocery,29.5628,73.8483,0,none,20,1,1,354.44
TXN_00082325,CUST_02554,CARD_05763,2026-01-04T19:26:15.805431Z,1514.03,MERCHANT_1039,luxury_goods,13.5284,81.4849,0,none,19,6,1,325.91
TXN_00047618,CUST_02710,CARD_49521,2026-01-07T18:54:15.805431Z,68.06,MERCHANT_0204,grocery,17.3161,74.0976,0,none,18,2,1,119.07
TXN_00083124,CUST_03185,CARD_82612,2025-12-25T04:17:15.805431Z,66.45,MERCHANT_1109,retail,15.3269,77.7158,0,none,4,3,12,160.31
TXN_00043211,CUST_01778,CARD_52273,2026-01-02T13:32:15.805431Z,82.93,MERCHANT_0455,gas,7.7954,81.907,0,none,13,4,1,525.3
TXN_00090342,CUST_02642,CARD_61869,2026-01-20T09:59:15.805431Z,63.12,MERCHANT_0290,jewelry,30.5822,81.8227,0,none,9,1,1,539.91
TXN_00020104,CUST_02099,CARD_06231,2025-12-26T18:02:15.805431Z,312.33,MERCHANT_1866,grocery,27.7423,71.7662,0,none,18,4,12,195.14
TXN_00098147,CUST_04848,CARD_56794,2026-01-02T16:54:14.805431Z,177.13,MERCHANT_0271,luxury_goods,9.989,88.2412,1,card_cloning,16,4,1,1770.0
TXN_00047010,CUST_00417,CARD_63763,2026-01-01T04:59:15.805431Z,172.97,MERCHANT_1816,electronics,12.7079,74.3573,0,none,4,3,1,329.13
TXN_00040005,CUST_02607,CARD_15921,2025-12-27T01:45:15.805431Z,469.99,MERCHANT_1518,grocery,21.2005,83.5289,0,none,1,5,12,314.41
TXN_00061911,CUST_04247,CARD_23040,2026-01-08T17:55:15.805431Z,199.79,MERCHANT_0428,electronics,20.3976,77.5007,0,none,17,3,1,143.16
TXN_00034423,CUST_00449,CARD_72183,2026-01-06T19:23:15.805431Z,458.89,MERCHANT_0585,restaurant,21.5925,77.9774,0,none,19,1,1,271.26
TXN_00010681,CUST_02313,CARD_35852,2026-01-15T19:00:15.805431Z,1842.04,MERCHANT_1603,jewelry,23.4583,88.8811,0,none,19,3,1,388.9
TXN_00093493,CUST_04480,CARD_16750,2026-01-05T00:04:15.805431Z,115.63,MERCHANT_1369,jewelry,27.2138,75.9342,0,none,0,0,1,256.5
TXN_00002427,CUST_03967,CARD_14384,2025-12-24T06:53:15.805431Z,306.44,MERCHANT_1298,electronics,17.5329,87.1981,0,none,6,2,12,286.37
TXN_00042082,CUST_01472,CARD_05981,2025-12-26T09:28:15.805431Z,175.68,MERCHANT_1621,gas,24.5908,79.8125,0,none,9,4,12,203.02
TXN_00066980,CUST_04901,CARD_82284,2025-12-30T01:32:15.805431Z,1279.86,MERCHANT_1725,grocery,23.2404,79.7306,0,none,1,1,12,286.33
TXN_00018464,CUST_00231,CARD_28937,2025-12-28T08:42:15.805431Z,5380.91,MERCHANT_1691,electronics,32.3754,76.6229,0,none,8,6,12,323.16
TXN_00020133,CUST_00031,CARD_89486,2026-01-23T06:17:15.805431Z,105.41,MERCHANT_1404,retail,15.8684,79.77,0,none,6,4,1,318.0
TXN_00018955,CUST_02997,CARD_45925,2026-01-01T00:10:15.805431Z,4876.95,MERCHANT_1537,retail,19.0221,81.4849,0,none,0,3,1,380.36
TXN_00085626,CUST_02852,CARD_72414,2026-01-09T05:07:15.805431Z,29.18,MERCHANT_0749,gas,24.5813,78.2268,0,none,5,4,1,472.94
TXN_00066026,CUST_03848,CARD_07904,2026-01-05T12:54:15.805431Z,1565.21,MERCHANT_1471,retail,22.8456,85.0717,0,none,12,0,1,151.61
TXN_00085199,CUST_02176,CARD_87868,2025-12-25T03:31:15.805431Z,94.35,MERCHANT_0829,gas,9.9795,80.9771,0,none,3,3,12,200.32
TXN_00051333,CUST_01826,CARD_88259,2026-01-05T07:54:15.805431Z,743.3,MERCHANT_0087,restaurant,23.2801,81.2166,0,none,7,0,1,88.24
TXN_00019311,CUST_02720,CARD_01560,2026-01-15T04:58:15.805431Z,329.31,MERCHANT_1176,jewelry,20.7442,78.7515,0,none,4,3,1,173.55
TXN_00087533,CUST_02149,CARD_77635,2026-01-09T19:28:15.805431Z,564.42,MERCHANT_1914,retail,13.8041,79.8269,0,none,19,4,1,170.22
TXN_00087676,CUST_04029,CARD_38660,2026-01-01T00:48:15.805431Z,140.33,MERCHANT_1756,retail,16.9432,74.7639,0,none,0,3,1,535.22
TXN_00062594,CUST_00275,CARD_57854,2026-01-19T18:49:15.805431Z,552.35,MERCHANT_1013,luxury_goods,24.6782,76.3622,0,none,18,0,1,251.49
TXN_00081241,CUST_03244,CARD_84014,2026-01-14T22:40:15.805431Z,459.27,MERCHANT_1931,retail,21.3117,72.8315,0,none,22,2,1,227.05
TXN_00089473,CUST_01387,CARD_19398,2026-01-02T22:17:15.805431Z,350.96,MERCHANT_0727,grocery,20.4279,69.4481,0,none,22,4,1,201.53
TXN_00000818,CUST_02437,CARD_39076,2026-01-21T17:06:15.805431Z,832.37,MERCHANT_1209,grocery,13.8667,85.0732,0,none,17,2,1,536.28
TXN_00050197,CUST_00762,CARD_72733,2026-01-19T15:34:15.805431Z,588.73,MERCHANT_1579,jewelry,20.7677,71.358,0,none,15,0,1,327.16
TXN_00023145,CUST_04485,CARD_01054,2026-01-21T01:31:15.805431Z,4318.99,MERCHANT_0334,retail,21.9229,84.2524,0,none,1,2,1,268.41
TXN_00052672,CUST_00365,CARD_08125,2026-01-01T00:59:15.805431Z,616.63,MERCHANT_0537,grocery,12.9405,76.862,0,none,0,3,1,583.36
TXN_00077580,CUST_01852,CARD_97324,2026-01-12T12:14:15.805431Z,1112.03,MERCHANT_0841,electronics,16.0342,74.2495,0,none,12,0,1,56.57
TXN_00020440,CUST_01915,CARD_93910,2025-12-30T02:18:15.805431Z,83.45,MERCHANT_1523,jewelry,27.9061,83.3333,0,none,2,1,12,249.25
TXN_00053143,CUST_00811,CARD_35248,2026-01-15T12:55:15.805431Z,151.54,MERCHANT_1838,electronics,24.2606,71.3879,0,none,12,3,1,347.0
TXN_00082137,CUST_00361,CARD_12690,2026-01-15T09:47:15.805431Z,1100.63,MERCHANT_1284,retail,21.4708,69.8101,0,none,9,3,1,96.33
TXN_00018559,CUST_03120,CARD_54819,2025-12-30T20:49:15.805431Z,541.15,MERCHANT_0703,gas,16.5368,80.9859,0,none,20,1,12,38.76
TXN_00025355,CUST_04981,CARD_48749,2026-01-18T07:49:15.805431Z,461.28,MERCHANT_1285,gas,15.6708,76.426,0,none,7,6,1,155.93
TXN_00067794,CUST_04004,CARD_05581,2026-01-01T05:54:15.805431Z,123.91,MERCHANT_0675,retail,24.4148,89.521,0,none,5,3,1,484.35
TXN_00071266,CUST_04907,CARD_14744,2025-12-27T16:06:15.805431Z,1183.32,MERCHANT_1706,electronics,22.8714,85.237,0,none,16,5,12,79.13
TXN_00057002,CUST_02854,CARD_82853,2026-01-10T01:43:15.805431Z,684.79,MERCHANT_0484,restaurant,26.6842,82.4524,0,none,1,5,1,241.21
TXN_00061503,CUST_04789,CARD_22357,2026-01-20T02:52:15.805431Z,1399.1,MERCHANT_1516,jewelry,15.9072,83.0518,0,none,2,1,1,375.77
TXN_00044324,CUST_02082,CARD_07338,2026-01-15T04:33:15.805431Z,339.99,MERCHANT_1532,grocery,16.4482,72.3868,0,none,4,3,1,416.1
TXN_00093083,CUST_04688,CARD_20847,2025-12-23T22:14:15.805431Z,240.92,MERCHANT_1467,jewelry,18.1316,77.0265,0,none,22,1,12,381.89
TXN_00057205,CUST_03525,CARD_29082,2026-01-02T04:13:15.805431Z,186.95,MERCHANT_1721,luxury_goods,13.4931,70.4895,0,none,4,4,1,303.78
TXN_00062189,CUST_02235,CARD_31325,2025-12-28T04:54:15.805431Z,536.95,MERCHANT_0193,retail,24.0529,79.0228,0,none,4,6,12,377.74
TXN_00075399,CUST_00939,CARD_26864,2026-01-17T02:42:15.805431Z,257.02,MERCHANT_0583,electronics,18.0402,79.2883,0,none,2,5,1,147.91
TXN_00019230,CUST_01097,CARD_69813,2026-01-21T01:33:15.805431Z,852.69,MERCHANT_0242,luxury_goods,31.3235,72.6351,0,none,1,2,1,82.09
TXN_00014387,CUST_02996,CARD_82004,2025-12-29T21:28:15.805431Z,1058.16,MERCHANT_1430,jewelry,22.5992,79.7987,0,none,21,0,12,104.19
TXN_00093789,CUST_02521,CARD_34253,2026-01-22T02:20:15.805431Z,1500.97,MERCHANT_1051,grocery,21.2236,70.328,0,none,2,3,1,208.21
TXN_00003825,CUST_00490,CARD_42156,2026-01-02T05:18:15.805431Z,27.82,MERCHANT_0816,luxury_goods,12.819,85.145,0,none,5,4,1,258.62
TXN_00015551,CUST_01504,CARD_15447,2026-01-09T02:50:15.805431Z,412.83,MERCHANT_0065,jewelry,23.2199,70.8682,0,none,2,4,1,42.62
TXN_00017793,CUST_00413,CARD_62658,2026-01-16T15:24:15.805431Z,1118.07,MERCHANT_1820,grocery,18.1135,86.6784,0,none,15,4,1,55.08
TXN_00007765,CUST_00764,CARD_43610,2026-01-21T17:41:15.805431Z,773.62,MERCHANT_0857,jewelry,29.3382,85.7412,0,none,17,2,1,117.9
TXN_00089143,CUST_01038,CARD_41830,2026-01-10T20:13:15.805431Z,3246.79,MERCHANT_0632,retail,20.6965,76.4905,0,none,20,5,1,367.0
TXN_00073737,CUST_02593,CARD_32670,2026-01-05T15:42:15.805431Z,190.95,MERCHANT_1985,restaurant,29.9817,69.4385,0,none,15,0,1,466.09
TXN_00087648,CUST_03893,CARD_03549,2026-01-11T02:47:15.805431Z,2217.37,MERCHANT_0481,grocery,21.143,79.3988,0,none,2,6,1,48.59
TXN_00060695,CUST_03374,CARD_63785,2026-01-02T01:49:15.805431Z,1529.86,MERCHANT_0763,restaurant,15.55,81.9247,0,none,1,4,1,49.81
TXN_00053361,CUST_04811,CARD_46782,2026-01-18T22:39:15.805431Z,373.02,MERCHANT_1664,jewelry,23.9622,77.0381,0,none,22,6,1,184.45
TXN_00048488,CUST_00617,CARD_93813,2026-01-04T20:13:15.805431Z,275.74,MERCHANT_1251,retail,19.0944,92.122,0,none,20,6,1,120.75
TXN_00043049,CUST_01713,CARD_27364,2026-01-19T12:33:15.805431Z,43.82,MERCHANT_1210,retail,11.8645,85.9515,0,none,12,0,1,182.43
TXN_00012512,CUST_00373,CARD_09814,2026-01-06T06:05:15.805431Z,12.67,MERCHANT_0851,restaurant,21.8162,72.6009,0,none,6,1,1,319.22
TXN_00058191,CUST_00540,CARD_27520,2026-01-16T03:36:15.805431Z,4102.11,MERCHANT_0744,retail,28.5958,83.6516,0,none,3,4,1,70.03
TXN_00061984,CUST_04987,CARD_58803,2026-01-11T23:50:15.805431Z,4723.14,MERCHANT_1115,restaurant,23.0438,79.9418,0,none,23,6,1,286.35
TXN_00000539,CUST_04710,CARD_17643,2025-12-26T10:35:15.805431Z,313.4,MERCHANT_1992,gas,21.6114,74.9717,0,none,10,4,12,288.84
TXN_00069210,CUST_01429,CARD_07042,2026-01-15T10:52:15.805431Z,337.15,MERCHANT_0814,jewelry,17.6929,77.7379,0,none,10,3,1,76.98
TXN_00061147,CUST_02867,CARD_24434,2026-01-04T15:52:15.805431Z,871.03,MERCHANT_1205,grocery,24.978,78.073,0,none,15,6,1,81.4
TXN_00052769,CUST_02044,CARD_03646,2026-01-09T19:15:15.805431Z,146.99,MERCHANT_1282,electronics,21.1231,77.3212,0,none,19,4,1,468.18
TXN_00053681,CUST_01945,CARD_89222,2026-01-07T02:03:15.805431Z,2018.56,MERCHANT_0270,jewelry,21.7492,83.2677,0,none,2,2,1,49.31
TXN_00051534,CUST_02357,CARD_24526,2026-01-18T08:07:15.805431Z,1602.68,MERCHANT_1172,restaurant,26.2646,83.0248,0,none,8,6,1,464.07
TXN_00069619,CUST_04039,CARD_14709,2025-12-28T01:07:15.805431Z,217.51,MERCHANT_0570,jewelry,19.9335,84.4714,0,none,1,6,12,32.82
TXN_00086782,CUST_04311,CARD_34706,2026-01-17T01:06:15.805431Z,9.57,MERCHANT_1985,retail,17.3016,81.1223,0,none,1,5,1,156.86
TXN_00040147,CUST_01096,CARD_87949,2025-12-27T14:28:15.805431Z,144.29,MERCHANT_0229,grocery,11.8367,81.1543,0,none,14,5,12,86.2
TXN_00042631,CUST_04246,CARD_35317,2026-01-13T21:08:15.805431Z,791.24,MERCHANT_1837,retail,24.4714,75.5039,0,none,21,1,1,306.8
TXN_00010537,CUST_00092,CARD_56798,2026-01-20T11:02:15.805431Z,2227.55,MERCHANT_1923,retail,13.5926,82.1766,0,none,11,1,1,202.42
